title,paragraph
Ernest Shand,"Ernest Shand (born Ernest William Watson; 31 January 1868 – 29 November 1924) was an English performer and composer for the classical guitar, and a music-hall singer and actor."
Rudolf Sieczyński,"Rudolf Sieczyński (February 23, 1879, Vienna – May 5, 1952, Vienna) was an Austrian composer of Polish ancestry.  His fame today rests almost exclusively on the nostalgic Viennese song Wien, du Stadt meiner Träume (Vienna, City of My Dreams), whose melody and lyrics he wrote in 1914.   A well-known recording was made in 1957 by Elisabeth Schwarzkopf with Otto Ackermann conducting the Philharmonia Orchestra.  The song was featured in the soundtrack of the Stanley Kubrick film Eyes Wide Shut."
Jean Sibelius,"Jean Sibelius (/sɪˈbeɪliəs/ sib-AY-lee-əs;[1] Finland Swedish: [ˈjɑːn siˈbeːliʉs, ˈʃɑːn -] (listen); born Johan Julius Christian Sibelius;[2] 8 December 1865 – 20 September 1957) was a Finnish composer of the late Romantic and early-modern periods. He is widely regarded as his country's greatest composer, and his music is often credited with having helped Finland develop a national identity during its struggle for independence from Russia."
Marie Siegling,"Marie Regina Siegling (February 7, 1824 – January 2, 1920) was an American composer."
Friedrich Silcher,"Philipp Friedrich Silcher (27 June 1789 in Schnait (today part of Weinstadt) – 26 August 1860 in Tübingen), was a German composer, mainly known for his lieder (songs), and an important Volkslied collector.[1]"
Francisco Manuel da Silva,"Francisco Manuel da Silva (21 February 1795 – 18 December 1865) was a Brazilian songwriter and music professor. He was born and died in Rio de Janeiro. He had great prominence in the musical life of Rio de Janeiro in the period between the death of José Maurício Nunes Garcia and Antônio Carlos Gomes. He was a singer of Capela Real since 1809, and later a cello player. He was one of the founders of Imperial Academia de Música e Ópera Nacional (National Imperial Music and Opera Academy), of Sociedade Beneficência Musical e Conservatório Imperial de Música, which became Instituto Nacional de Música (Nacional Music Institute) and is called Escola de Música da Universidade Federal do Rio de Janeiro (Rio de Janeiro University Music School)."
Antoine Simon (composer),"Antoine Simon, commonly known as Anton Simon (Russian: Антон Юльевич Симон) (5 August 1850 – 19 January 1916), was a French composer, director and pianist, who made most of his career in Russia."
Giuseppe Silvestri,"Giuseppe Silvestri (1841-1921) was an Italian classical composer and mandolin virtuoso. He is principally remembered today for his role as a mandolinist and for his composition Serenade d'Autrefois (Serenata medioevale or Serenade of Olden Times). He was a celebrated teacher of the mandolin in Naples and Paris, and became popular enough to get the criticism that he was causing Parisians to leave the piano for the mandolin.[1][2][3]"
Christian Sinding,"Christian August Sinding (11 January 1856 – 3 December 1941) was a Norwegian composer. He is best known for his lyrical work  for piano Frühlingsrauschen (Rustle of Spring, 1896). He was often compared to Edvard Grieg and regarded as his successor.[1]"
Jean-Baptiste Singelée,Jean-Baptiste Singelée (25 September 1812 in Brussels – 29 September 1875 in Oostende)[1] was a Belgian classical composer of the romantic period.
Camillo Sivori,"Ernesto Camillo Sivori, (June 6, 1817 – February 18, 1894) was an Italian virtuoso violinist and composer."
František Škroup,"František Jan Škroup (Czech pronunciation: [ˈfraɲcɪʃɛk jan ˈʃkroup]; 3 June 1801 in Osice near Hradec Králové – 7 February 1862 in Rotterdam) was a Czech composer and conductor. His brother Jan Nepomuk Škroup was also a successful composer and his father, Dominik Škroup, and other brother Ignác Škroup were lesser known composers."
Emil Sjögren,"Johan Gustav Emil Sjögren (16 June 1853, Stockholm – 1 March 1918, Knivsta) was a Swedish composer."
Hans Sitt,"Hans Sitt (born Jan Hanuš Sitt on 21 September 1850, Prague – 10 March 1922, Leipzig), was a Bohemian violinist, violist, teacher, and composer. During his lifetime, he was regarded as one of the foremost teachers of violin. Most of the orchestras and conservatories of Europe and North America then sported personnel who numbered among his students."
Maximilien Simon,Maximilien-Charles Simon (8 March 1797 – 20 September 1861) was a French composer.
Maddalena Laura Sirmen,"Maddalena Sirmen (9 December 1745 – 18 May 1818) was an Italian composer, violinist, and singer."
František Zdeněk Skuherský,"František Zdeněk Xavier Alois Skuherský (July 31, 1830 – August 19, 1892) was a Czech composer, pedagogue, and theoretician.[1]"
Jane Sloman,"Jane Sloman (b. Ipswich, 15 December 1824, d. after 1850) was an English composer, pianist, and vocalist, who had an active concert career in the United States during the 1840s. She is best known for writing the songs ""Roll on, Silver Moon"", ""Forget Thee"", and the ""Maiden's Farewell.""[1][2] Her music was also published under the name Jane Sloman Torry.[3]"
Lindsay Sloper,Lindsay Sloper (full name Edward Hugh Lindsay Sloper; 14 June 1826 – 3 July 1887) was an English pianist and composer.
Henry Smart,Henry Thomas Smart (26 October 1813 – 6 July 1879) was an English organist and composer.
Antonio Smareglia,Antonio Smareglia (5 May 1854 – 15 April 1929) was an Italian opera composer.
Alice Mary Smith,"Alice Mary Smith (married name Alice Mary Meadows White; 19 May 1839 – 4 December 1884) was an English composer. Her compositions included two symphonies and a large collection of choral works, both sacred and secular.[1]"
Edward L. Sloan,"Edward Lennox Sloan (1830–1874) was a Latter-day Saint editor and publisher.  He also was the arranger of the text of the hymn ""For the Strength of the Hills"" into the version currently contained in the hymnal of The Church of Jesus Christ of Latter-day Saints (LDS Church)."
Bedřich Smetana,"Bedřich Smetana (/ˌbɛdərʒɪx ˈsmɛtənə/ BED-ər-zhikh SMET-ə-nə,[1][2][3] Czech: [ˈbɛdr̝ɪx ˈsmɛtana] (listen); 2 March 1824 – 12 May 1884) was a Czech composer who pioneered the development of a musical style that became closely identified with his people's aspirations to a cultural and political ""revival."" He has been regarded in his homeland as the father of Czech music. Internationally he is best known for his 1866 opera The Bartered Bride and for the symphonic cycle Má vlast (""My Fatherland""), which portrays the history, legends and landscape of the composer's native Bohemia. It contains the famous symphonic poem ""Vltava"", also popularly known by its German name ""Die Moldau"" (in English, ""The Moldau"")."
John Stafford Smith,"John Stafford Smith (bapt. 30 March 1750 – 21 September 1836) was a British composer, church organist, and early musicologist. He was one of the first serious collectors of manuscripts of works by Johann Sebastian Bach."
Carlo Evasio Soliva,"Carlo Evasio Soliva (27 November 1791 – 20 December 1853) was a Swiss-Italian composer of opera, chamber music, and sacred choral works. Soliva was born in Casale Monferrato, Piedmont to a family of Swiss chocolatiers who had emigrated from the canton of Ticino. He studied pianoforte and composition at the Milan Conservatory."
Eduard Sobolewski,"Johann Friedrich Eduard Sobolewski (born Königsberg (Królewiec), October 1, 1804[1][2] or 1808[3] - died St. Louis, May 17, 1872) was a Polish-American violinist, composer, and conductor."
Ethel Smyth,"Dame Ethel Mary Smyth DBE (/smaɪθ/;[1] 22 April 1858 – 8 May 1944) was an English composer and a member of the women's suffrage movement. Her compositions include songs, works for piano, chamber music, orchestral works, choral works and operas."
Charles Michael Alexis Sola,"Charles Michael Alexis Sola (born as Carlo Michele Alessio Sola, mostly known as ""C.M. Sola"") (6 June 1786 – 21 January 1857) was an Italian guitarist, flutist and composer, active in England after 1817."
August Söderman,"(Johan) August Söderman (17 July 1832 in Stockholm – 10 February 1876 in Stockholm) has traditionally been seen as the pre-eminent Swedish composer of the Romantic generation, known especially for his lieder and choral works, based on folk material, and for his theatre music, such as the incidental music to Ludvig Josephson's Marsk Stigs döttrar (""Marshal Stig's Daughter""), 1866, or his Svenskt festspel (""Swedish Festival Music"")."
Temistocle Solera,Temistocle Solera (25 December 1815 – 21 April 1878) was an Italian opera composer and librettist.
Edward Solomon,"Edward Solomon (25 July 1855 – 22 January 1895) was an English composer, conductor, orchestrator and pianist. He died at age 39 by which time he had written dozens of works produced for the stage, including several for the D'Oyly Carte Opera Company, including The Nautch Girl (1891). Early in his career, he was a frequent collaborator of Henry Pottinger Stephens.  He had a bigamous marriage with Lillian Russell in the 1880s."
Fernando Sor,"Fernando Sor (bapt. 14 Feb. 1778, died 10 July 1839) was a Spanish classical guitarist and composer of the Early Romantic era. Best known for writing solo classical guitar music, he also composed an opera (at the age of 19), three symphonies, guitar duos, piano music, songs, a Mass, and at least two successful ballets: Cinderella, which received over one hundred performances, and Hercule et Omphale."
John Philip Sousa,"John Philip Sousa (/ˈsuːzə, ˈsuːsə/ SOO-zə, SOO-sə;[1][2] November 6, 1854 – March 6, 1932) was a Portuguese-American composer and conductor of the late Romantic era known primarily for American military marches.[3] He is known as ""The March King"" or the ""American March King"", to distinguish him from his British counterpart Kenneth J. Alford. Among his best-known marches are ""The Stars and Stripes Forever"" (National March of the United States of America), ""Semper Fidelis"" (official march of the United States Marine Corps), ""The Liberty Bell"", ""The Thunderer"", and ""The Washington Post""."
Fritz Spindler,"Fritz Spindler (24 November 1817 – 26 December 1905) was a German pianist and composer, especially of works for the piano."
Johannes Spech,Johannes (or János) Spech (10 December 1767 – 24 November 1836) was a Hungarian classical era composer.
Niccola Spinelli,Niccola Spinelli (29 July 1865 – 17 October 1909) was an Italian composer of operas.
Louis Spohr,"Louis Spohr ([ˈluːi ˈʃpo:ɐ], 5 April 1784 – 22 October 1859), baptized Ludewig Spohr,[1] later often in the modern German form of the name Ludwig,[2] was a German composer, violinist and conductor. Highly regarded during his lifetime,[3] Spohr composed ten symphonies, ten operas, eighteen violin concerti, four clarinet concerti, four oratorios, and various works for small ensemble, chamber music, and art songs.[4]  Spohr invented the violin chinrest and the orchestral rehearsal mark. His output spans the transition between Classical and Romantic music,[4] but fell into obscurity following his death, when his music was rarely heard. The late 20th century saw a revival of interest in his oeuvre, especially in Europe."
